season,week,n_contestants,entropy,normalized_entropy,vote_gap,rank_correlation,certainty
1,1,6,1.7817913555328009,0.9944366898200077,0.045871559633027525,1.0,0.47047633250353904
1,2,6,1.6623769585928223,0.9277902459245969,0.047619047619047616,1.0,0.49309149765119237
1,3,5,1.4897503183505914,0.9256339165625256,0.06666666666666667,0.0,0.32230982503124234
1,4,4,1.2798542254336676,0.9232196720469689,0.1,0.39999999999999997,0.4530340983859093
1,5,3,1.0955114992541723,0.9971775398419249,0.0136986301369863,1.0,0.42139468325290197
1,6,2,0.6931050957699078,0.999939284482116,0.00917431192660545,0.9999999999999999,0.4137796825452734
2,1,10,2.151281719651836,0.9342897798641306,0.01818181818181818,0.735565707852878,0.39409893488406367
2,2,9,2.049840719492665,0.9329227156096016,0.022222222222222223,0.7447763937925935,0.4024117974089716
2,3,8,1.9367978702680964,0.931402894213363,0.027777777777777776,0.9880235200593538,0.4598505024145286
2,4,7,1.8091178633134253,0.9297026711082745,0.03571428571428571,0.23424374030084535,0.3215093752991153
2,5,6,1.6623769585928225,0.927790245924597,0.047619047619047616,0.14285714285714288,0.3216629262226209
2,6,5,1.4897503183505914,0.9256339165625256,0.06666666666666667,0.4743416490252569,0.4171781548362937
2,7,4,1.2798542254336676,0.9232196720469689,0.1,0.9486832980505139,0.5627707579960122
2,8,3,1.0979349922137165,0.999383498199156,0.023714351101408793,1.0,0.43575647719236643
3,1,11,2.3978952716983706,0.9999999995412643,0.0,,
3,2,10,2.3020916378278287,0.9997856951442452,0.007021739130434787,-0.31622776601683794,0.14735134694901103
3,3,9,2.1966840809074153,0.9997540094743254,0.007746376811594208,-0.33523919982740297,0.14464552240961315
3,4,8,2.0785395376718094,0.9995662277635862,0.010767676767070439,-0.5590169943749473,0.10447824794654034
3,5,7,1.9451782525011692,0.9996238795740392,0.011799723757360853,-0.9393364366277241,0.02994513443828469
3,6,5,1.5995831625803867,0.9938768996445415,0.0423728813559322,0.9999999999999999,0.46539625214053587
3,7,5,1.6094379119341005,0.9999999996893326,0.0,,
3,8,4,1.3862943607198905,0.9999999997114609,0.0,,
3,9,3,1.0986122883681095,0.999999999726928,0.0,,
3,10,2,0.6931471803599453,0.9999999997114609,0.0,,
4,1,11,2.382895025952271,0.993744411185817,0.009708737864077666,1.0,0.4164397834403714
4,2,11,2.3974124189757076,0.9997986343156264,0.006622448979591841,-0.24210006235312614,0.1615740707040746
4,3,10,2.3011493492073516,0.9993764643960118,0.011967889908256882,-0.24413653763134782,0.16931158801731222
4,4,9,2.197136303667145,0.9999598249218651,0.0031315789473115863,-0.1380861926847485,0.17709218240745817
4,5,8,2.0794415408798357,0.9999999996152813,0.0,,
4,6,7,1.9448540723823362,0.9994572839483418,0.012431372549019604,-0.5169078021169037,0.11542831321564614
4,7,6,1.7909195150444535,0.9995312126443159,0.011826860843242915,-0.1740776559556978,0.18306539628043006
4,8,5,1.6094379119341005,0.9999999996893326,0.0,,
4,9,4,1.3862943607198905,0.9999999997114609,0.0,,
4,10,3,1.0985081208564946,0.999905182371716,0.0038606371383330673,1.0,0.40581940099598485
5,1,12,2.4849066485880007,0.9999999995170846,0.0,,
5,2,11,2.395995087690547,0.9992075612603355,0.013271708683473382,-0.49719803132448265,0.1207056883822129
5,3,10,2.302585091994046,0.9999999995657055,0.0,,
5,4,9,2.197161998405508,0.9999715191012529,0.0026367521367521435,-0.0944911182523068,0.185065448824291
5,5,8,2.0794395408745023,0.9999990378160226,0.0004999999999982241,0.0,0.20075028865519057
5,6,7,1.9453343818784472,0.9997041142022176,0.00992592592592595,-0.5666104753973752,0.10165555954874861
5,7,6,1.791759468628055,0.9999999996651336,0.0,,
5,8,5,1.6093448629135563,0.999942185082242,0.004468948035563747,-0.6668859288553503,0.07334358075760297
5,9,4,1.386203209808567,0.9999342482275915,0.004773504273617946,-0.3333333333333334,0.14051331527548278
5,10,3,1.0942569127569208,0.9960355659989302,0.06302413494493475,1.0,0.4957255326177231
6,1,12,2.4680972510124306,0.9932354003008508,0.0,1.0,0.4020293799097448
6,2,12,2.4848484900798122,0.9999765948116429,0.002278858625124225,-0.35064393425828094,0.13329652264253725
6,3,10,2.302346270388061,0.999896280660067,0.004885964912280702,-0.20080483222562476,0.16719909672527603
6,4,9,2.1972245764362195,0.9999999995903923,0.0,,
6,5,8,2.0794415408798357,0.9999999996152813,0.0,,
6,6,7,1.9459101483553138,0.9999999996402714,0.0,,
6,7,6,1.791316480369865,0.9997527632108003,0.00859061488673138,-0.25724787771376323,0.16151051782410433
6,8,5,1.6092507344909446,0.9998836998049383,0.006117977528089874,-0.4472135954999579,0.11976913725066175
