celebrity_name,season,wiki_title,total_pageviews,avg_daily_pageviews,max_daily_pageviews,days_with_data
Jesse Metcalfe,29,Jesse Metcalfe,617571,8698.2,78328,71
Chrishell Stause,29,Chrishell Stause,837843,11800.6,100894,71
Skai Jackson,29,Skai Jackson,646279,9102.5,75597,71
Justina Machado,29,Justina Machado,419981,5915.2,40132,71
Charles Oakley,29,Charles Oakley,196032,2761.0,54978,71
Veron Davis,29,Juan Sebastián Verón,42726,601.8,1650,71
Johnny Weir,29,Johnny Weir,296525,4176.4,28036,71
Nev Schulman,29,Nev Schulman,385686,5432.2,30100,71
AJ McLean,29,AJ McLean,207296,2919.7,15956,71
Nelly,29,Nelly,517529,7289.1,43631,71
Kaitlyn Bristowe,29,Kaitlyn Bristowe,224571,3163.0,17999,71
Carole Baskin,29,Carole Baskin,650781,9165.9,91189,71
Monica Aldama,29,Monica Aldama,188469,2654.5,32121,71
Jeannie Mai,29,Jeannie Mai,508990,7168.9,36622,71
Martin Kove,30,Martin Kove,165204,2581.3,34611,64
Brian Austin Green,30,Brian Austin Green,702384,10974.8,69238,64
Melora Hardin,30,Melora Hardin,455402,7115.7,37357,64
Matt James,30,Matt James,281,4.5,44,62
"Mike ""The Miz"" Mizanin",30,The Miz,230030,3594.2,19167,64
Suni Lee,30,Sunisa Lee,120759,1886.9,10340,64
Iman Shumpert,30,Iman Shumpert,354856,5544.6,35049,64
Cody Rigsby,30,Cody Rigsby,39434,616.2,3632,64
Melanie C,30,Melanie C,299886,4685.7,30236,64
Jimmie Allen,30,Jimmie Allen,256049,4000.8,44074,64
Olivia Jade,30,Olivia Jade,236534,3695.8,33388,64
JoJo Siwa,30,JoJo Siwa,1072075,16751.2,85528,64
Christine Chiu,30,Bling Empire,53085,829.5,6579,64
Kenya Moore,30,Kenya Moore,166572,2602.7,14240,64
Amanda Kloots,30,Amanda Kloots,437112,6829.9,55151,64
Jason Lewis,31,Jason Lewis (actor),100735,1574.0,18988,64
Cheryl Ladd,31,Cheryl Ladd,174009,2718.9,12456,64
Selma Blair,31,Selma Blair,657933,10280.2,77696,64
Joseph Baena,31,Joseph Baena,291203,4550.0,24397,64
Trevor Donovan,31,Trevor Donovan,301354,4708.7,26313,64
Daniel Durant,31,Daniel Durant,156570,2446.4,12394,64
Wayne Brady,31,Wayne Brady,307369,4802.6,19544,64
Sam Champion,31,Sam Champion,68535,1070.9,9961,64
Jessie James Decker,31,Jessie James Decker,169229,2644.2,9934,64
Jordin Sparks,31,Jordin Sparks,178034,2781.8,12113,64
Heidi D'Amelio,31,Charli D'Amelio,470844,7356.9,16800,64
Charli D'Amelio,31,Charli D'Amelio,470844,7356.9,16800,64
Teresa Giudice,31,Teresa Giudice,110157,1721.2,10013,64
Vinny Guadagnino,31,Vinny Guadagnino,85859,1341.5,3769,64
Shangela,31,Shangela,136614,2134.6,9361,64
Gabby Windey,31,Gabby Windey,137227,2144.2,12618,64
Jamie Lynn Spears,32,Jamie Lynn Spears,1246745,21872.7,293641,57
Mira Sorvino,32,Mira Sorvino,866207,15196.6,110463,57
Barry Williams,32,Barry Williams (actor),682230,11968.9,120792,57
Alyson Hannigan,32,Alyson Hannigan,604544,10606.0,57397,57
Xochitl Gomez,32,Xochitl Gomez,468697,8222.8,43819,57
Adrian Peterson,32,Adrian Peterson,347558,6097.5,46883,57
Matt Walsh,32,Matt Walsh (political commentator),139834,2453.2,21493,57
Tyson Beckford,32,Tyson Beckford,166622,2923.2,32884,57
Jason Mraz,32,Jason Mraz,500200,8775.4,54790,57
Lele Pons,32,Lele Pons,270624,4747.8,33931,57
Harry Jowsey,32,Harry Jowsey,57964,1016.9,5096,57
Mauricio Umansky,32,Mauricio Umansky,43749,767.5,4333,57
Ariana Madix,32,Ariana Madix,295289,5180.5,31628,57
Tori Spelling,33,Tori Spelling,325333,4582.2,55991,71
Eric Roberts,33,Eric Roberts,856433,12062.4,137030,71
Reginald VelJohnson,33,Reginald VelJohnson,326505,4598.7,35094,71
Chandler Kinney,33,Chandler Kinney,301703,4249.3,34090,71
Dwight Howard ,33,Dwight Howard,562549,7923.2,56529,71
Danny Amendola,33,Danny Amendola,826409,11639.6,74992,71
Stephen Nedoroscik,33,Stephen Nedoroscik,232904,3280.3,19883,71
Ilona Maher,33,Ilona Maher,1097665,15460.1,68104,71
Anna Delvey,33,Anna Delvey,44330,624.4,5042,71
Brooks Nader,33,Brooks Nader,467113,6579.1,68063,71
Phaedra Parks,33,Phaedra Parks,186615,2628.4,19337,71
Jenn Tran,33,Jenn Tran,195230,2749.7,13864,71
Joey Graziadei,33,Joey Graziadei,178050,2507.7,11659,71
Corey Feldman,34,Corey Feldman,377518,5317.2,13761,71
Danielle Fishel,34,Danielle Fishel,128483,1809.6,7400,71
Elaine Hendrix,34,Elaine Hendrix,52264,736.1,1558,71
Baron Davis,34,Baron Davis,31825,448.2,1166,71
Jordan Chiles,34,Jordan Chiles,65426,921.5,5008,71
Andy Richter,34,Andy Richter,100723,1418.6,18381,71
Robert Irwin,34,Robert Irwin (conservationist),62903,886.0,2647,71
Hilaria Baldwin,34,Hilaria Baldwin,90492,1274.5,3789,71
Lauren Jauregui,34,Lauren Jauregui,45337,638.5,940,71
Scott Hoying,34,Scott Hoying,85608,1205.7,5889,71
Alix Earle,34,Alix Earle,289672,4079.9,22590,71
Jen Affleck,34,The Secret Lives of Mormon Wives,211263,2975.5,11415,71
Whitney Leavitt,34,Whitney Leavitt,41,0.9,4,44
Dylan Efron,34,Dylan Efron,35,1.0,4,34
