feature,score_importance,vote_importance
celebrity_age,0.40118240685340517,0.3675141113825436
season,0.39085236374822274,0.44872687068374606
industry_Actor/Actress,0.039026032011247366,0.04024665527239217
industry_TV Personality,0.030818483780851585,0.023619044288540048
is_us,0.025763281428109065,0.016646106952486504
industry_Athlete,0.025071393978657156,0.026532714111425854
industry_Comedian,0.02197618333866451,0.012993413722559296
industry_Singer/Rapper,0.01946501267633632,0.020827321725448312
industry_Model,0.01077200440501901,0.02083902806305688
industry_Social Media Personality,0.008410509070361706,0.004575491267594745
industry_Radio Personality,0.0038863011171071495,0.0026951649884534496
industry_Entrepreneur,0.0036474354002537933,0.0008132515065816342
industry_Sports Broadcaster,0.0033364606777598555,0.003161947479854092
industry_Con artist,0.003269932072267249,8.631897466093038e-05
industry_Racing Driver,0.0026994575328985566,0.0011652968068423546
industry_Journalist,0.002304676031310951,0.0002658321295730742
industry_Politician,0.0016124132882226838,0.0005988211662093965
industry_Astronaut,0.0014097189568824564,2.2045232033327932e-05
industry_Fashion Designer,0.0010213072725811306,3.687950158870232e-05
industry_Beauty Pagent,0.001012836282253013,0.0024639339042228764
industry_News Anchor,0.000764940608191699,0.0010089245397351836
industry_Motivational Speaker,0.0007401624258294041,0.0008607641437208058
industry_Magician,0.0002636826155646616,0.0002984176317227831
industry_Fitness Instructor,0.0001887173662863477,7.07299744089993e-05
industry_Producer,0.000157559786821899,0.0033351606330074123
industry_Military,0.00015418236060184653,3.3037409918280293e-06
industry_Conservationist,0.00012931927385381373,0.0003807666524176785
industry_Musician,6.099215165226673e-05,6.655984348861584e-05
industry_Social media personality,2.233488786645215e-06,0.00014512368069345263
